"","土地面積","建物面積","屋齡","房屋樓層","車位數目","有無管理","時間序列","單價萬_坪","lon","lat","road.name","price.level","X"
"3087",14.63,37.58865,1,"15",1,1,6,135411.570247934,120.952791,24.798318,"新竹市新竹巿經國路三段92巷16弄61~90號","10~15W",1016
"3088",23.24,61.797725,1,"15",2,1,6,133662.809917355,120.953029,24.798101,"新竹市新竹巿經國路三段92巷16弄61~90號","10~15W",1017
"3089",23.31,50.036525,6,"15",0,1,6,199854.545454545,120.951792,24.798967,"新竹市新竹巿牛埔東路1~30號","15~20W",1018
"3090",33.72,89.065075,2,"21",2,1,5,242519.008264463,121.015834,24.792194,"新竹市新竹巿慈濟路241~270號","20~25W",1019
"3091",49.58,50.774625,3,"13",1,1,6,177844.628099174,121.004916,24.79577,"新竹市新竹巿金城一路61~90號","15~20W",1020
"3092",19.68,53.388225,7,"11",2,1,6,168575.20661157,120.979009,24.813194,"新竹市新竹巿自由路95巷18弄1~30號","15~20W",1021
"3093",31.18,65.929875,5,"14",2,1,6,239636.363636364,120.985855,24.804157,"新竹市新竹巿八德路151~180號","20~25W",1022
"3094",16.44,46.061675,14,"20",1,1,6,128089.256198347,120.960647,24.823203,"新竹市新竹巿武陵路179巷1~30號","10~15W",1023
"3095",15.28,46.218975,14,"21",1,1,5,155781.818181818,120.96863,24.82148,"新竹市新竹巿武陵路179巷1~30號","15~20W",1024
"3096",55.93,45.61095,7,"14",1,1,6,201993.388429752,120.969604,24.765756,"新竹市新竹巿市志平路91~120號","20~25W",1025
"3097",22.74,57.417525,1,"14",1,0,6,217702.479338843,121.012066,24.788908,"新竹市新竹巿光復路一段544巷121~150號","20~25W",1026
"3098",7.49,21.843525,NA,"11",0,1,7,116740.495867769,120.967764,24.807368,"新竹市新竹巿大同里中正路91~120號","10~15W",1027
"3099",30.13,66.50765,5,"14",2,1,6,187947.107438017,120.997586,24.802478,"新竹市新竹巿公道五路二段301~330號","15~20W",1028
"3100",34.28,84.031475,1,"18",2,1,7,281447.933884298,121.020235,24.788139,"新竹市新竹巿關東路151~180號",">25W",1029
"3101",34.28,84.1676,1,"18",2,1,7,267735.537190083,121.020294,24.788094,"新竹市新竹巿關東路151~180號",">25W",1030
"3102",23.4,59.559225,1,"18",1,1,7,260079.338842975,121.020067,24.788293,"新竹市新竹巿關東路151~180號",">25W",1031
"3103",50.41,102.381125,1,"14",2,1,5,275080.991735537,121.019285,24.784257,"新竹市新竹巿關新東路181~210號",">25W",1032
